,STATEFP,COUNTYFP_x,VTDST,NAME,G16PRERTRU_x,G16PREDCLI_x,G16PRELJOH_x,G16PRECCAS_x,G16USSRTHU_x,G16USSDWIL_x,G16HALRNOE_x,G16HALDHAW_x,G16PUCRNEL_x,G16PUCDRED_x,geometry,County_Name,join_col,County,Precinct,G16PRERTRU_y,G16PREDCLI_y,G16PRELJOH_y,G16PRECCAS_y,G16USSRTHU_y,G16USSDWIL_y,G16HALRNOE_y,G16HALDHAW_y,G16PUCRNEL_y,G16PUCDRED_y,COUNTYFP_y,_merge
763,,,,,,,,,,,,,,,,,007-VETAL/TUTHILL PRECINCT,BENNETT,Vetal/Tuthill Precinct,150.0,7.0,12.0,0.0,157.0,11.0,150.0,16.0,149.0,11.0,007,right_only
764,,,,,,,,,,,,,,,,,007-MARTIN RURAL 26/27 PRECINCT,BENNETT,Martin Rural 26/27 Precinct,235.0,101.0,13.0,4.0,240.0,112.0,244.0,109.0,228.0,118.0,007,right_only
765,,,,,,,,,,,,,,,,,009-PRECINCT-1,BON HOMME,Precinct-1,439.0,105.0,29.0,6.0,470.0,114.0,412.0,170.0,496.0,69.0,009,right_only
766,,,,,,,,,,,,,,,,,009-PRECINCT-2,BON HOMME,Precinct-2,371.0,108.0,16.0,11.0,407.0,105.0,362.0,144.0,425.0,75.0,009,right_only
767,,,,,,,,,,,,,,,,,009-PRECINCT-3,BON HOMME,Precinct-3,471.0,208.0,30.0,8.0,500.0,224.0,430.0,295.0,570.0,125.0,009,right_only
768,,,,,,,,,,,,,,,,,009-PRECINCT-4,BON HOMME,Precinct-4,337.0,156.0,32.0,6.0,388.0,178.0,295.0,247.0,426.0,96.0,009,right_only
769,,,,,,,,,,,,,,,,,009-PRECINCT-5,BON HOMME,Precinct-5,487.0,127.0,22.0,5.0,488.0,149.0,443.0,190.0,498.0,112.0,009,right_only
770,,,,,,,,,,,,,,,,,015-PRECINCT-05,BRULE,Precinct-05,87.0,18.0,1.0,2.0,94.0,15.0,83.0,27.0,102.0,8.0,015,right_only
771,,,,,,,,,,,,,,,,,015-PRECINCT-04,BRULE,Precinct-04,59.0,11.0,2.0,4.0,56.0,18.0,59.0,17.0,65.0,8.0,015,right_only
772,,,,,,,,,,,,,,,,,015-PRECINCT-03,BRULE,Precinct-03,266.0,81.0,20.0,4.0,289.0,88.0,262.0,114.0,307.0,62.0,015,right_only
773,,,,,,,,,,,,,,,,,015-PRECINCT-02,BRULE,Precinct-02,388.0,98.0,26.0,5.0,413.0,109.0,381.0,141.0,441.0,68.0,015,right_only
774,,,,,,,,,,,,,,,,,015-PRECINCT-01,BRULE,Precinct-01,765.0,363.0,76.0,12.0,894.0,324.0,800.0,414.0,947.0,229.0,015,right_only
775,,,,,,,,,,,,,,,,,017-PRECINCT-1,BUFFALO,Precinct-1,92.0,21.0,3.0,0.0,91.0,26.0,90.0,26.0,97.0,17.0,017,right_only
776,,,,,,,,,,,,,,,,,017-PRECINCT-3,BUFFALO,Precinct-3,37.0,237.0,15.0,4.0,91.0,199.0,67.0,224.0,33.0,260.0,017,right_only
777,,,,,,,,,,,,,,,,,017-PRECINCT-2,BUFFALO,Precinct-2,42.0,38.0,0.0,1.0,50.0,32.0,43.0,40.0,44.0,36.0,017,right_only
778,,,,,,,,,,,,,,,,,019-PRECINCT-11,BUTTE,Precinct-11,63.0,8.0,0.0,0.0,63.0,6.0,63.0,9.0,63.0,7.0,019,right_only
